Título;ISSN impresa;ISSN en linea;Área;Instituto
Revista de la Escuela de Ciencias de la Educación;1851-6297;2362-3349;Ciencias sociales y humanidades;
Revista de la Facultad;1850-9371;2314-3061;Ciencias sociales y humanidades;
Revista de la Facultad de Agronomía (La Plata);0041-8676;1669-9513;Ciencias agrarias, ingeniería y materiales;
Revista de la Facultad de Ciencias Agrarias. Universidad Nacional de Cuyo;0370-4661;1853-8665;Ciencias agrarias, ingeniería y materiales;
Revista de la Facultad de Ciencias Económicas (En línea);;1668-6365;Ciencias sociales y humanidades;Universidad Nacional del Nordeste
Revista de la Facultad de Ciencias Médicas de Córdoba;0014-6722;1853-0605;Ciencias biológicas y de la salud;
Revista de la Facultad de Odontología. Universidad de Buenos Aires (En línea);;1668-8538;Ciencias biológicas y de la salud;
Revista de la Sociedad Argentina de Diabetes (En línea);0325-5247;2346-9420;Ciencias biológicas y de la salud;
Revista de la Sociedad Entomológica Argentina;0373-5680;1851-7471;Ciencias exactas y naturales;
Revista de nefrología, diálisis y transplante;0326-3428;2346-8548;Ciencias biológicas y de la salud;
Revista de psicología;1669-2438;2469-2050;Ciencias sociales y humanidades;
Revista de psicología (La Plata, 2008, En línea);;2422-572X;Ciencias sociales y humanidades;Facultad de Psicología, Universidad Nacional de La Plata
Revista de salud pública (Córdoba);1853-1180;1852-9429;Ciencias biológicas y de la salud;
Revista del Centro de Estudios de Sociología del Trabajo;1852-4648;1852-494X;Ciencias sociales y humanidades;
Revista del IICE (Ciudad Autónoma de Buenos Aires, En línea);;2451-5434;Ciencias sociales y humanidades;Facultad de Filosofía y Letras Universidad de Buenos Aires
Revista del Museo Argentino de Ciencias Naturales;1514-5158;1853-0400;Ciencias exactas y naturales;
Revista del Museo de Antropología;1852-060X;1852-4826;Ciencias sociales y humanidades;
Revista derecho y salud (En línea);;2591-3476;Ciencias sociales y humanidades;
Revista derechos en acción (En línea);;2525-1686;Ciencias sociales y humanidades;Facultad de Derecho, Universidad Nacional de La Plata
Revista electrónica (Instituto de Investigaciones Jurídicas y Sociales Ambrosio L. Gioja);;1851-3069;Ciencias sociales y humanidades;
Revista electrónica de derecho internacional contemporáneo (En línea);;2618-303X;Ciencias sociales y humanidades;
Revista electrónica de fuentes y archivos;;1853-4503;Ciencias sociales y humanidades;
Revista electrónica de investigación en educación en ciencias;;1850-6666;Ciencias sociales y humanidades;
Revista elektrón;;2525-0159;Ciencias agrarias, ingeniería y materiales;
Revista enfermería neonatal;;2591-6424;Ciencias biológicas y de la salud;Fundación para la Salud Materno Infantil
Revista entramados;;2422-6459;Ciencias sociales y humanidades;Facultad de Humanidades, Universidad Nacional de Mar del Plata
Revista eurolatinoamericana de derecho administrativo;;2362-583X;Ciencias sociales y humanidades;Universidad Nacional del Litoral
Revista iberoamericana de ciencia tecnología y sociedad;1668-0030;1850-0013;Ciencias sociales y humanidades;
Revista iberoamericana de tecnología en educación y educación en tecnología;1851-0086;1850-9959;Ciencias agrarias, ingeniería y materiales;
Revista industrial y agrícola de Tucumán;0370-5404;1851-3018;Ciencias agrarias, ingeniería y materiales;
Revista latinoamericana de estudios críticos animales;;2346-920X;Ciencias sociales y humanidades;Instituto Latinoamericano de Estudios Críticos Animales
Revista latinoamericana de estudios rurales;;2525-1635;Ciencias sociales y humanidades;
Revista latinoamericana de estudios sobre cuerpos, emociones y sociedad;;1852-8759;Ciencias sociales y humanidades;
Revista latinoamericana de filosofía;0325-0725;1852-7353;Ciencias sociales y humanidades;
Revista latinoamericana de filosofía política;;2250-8619;Ciencias sociales y humanidades;Centro de Investigaciones Filosóficas, Consejo Nacional de Investigaciones Científicas y Técnicas
Revista latinoamericana de metodología de la investigación social;;1853-6190;Ciencias sociales y humanidades;
Revista latinoamericana de metodología de las ciencias sociales;;1853-7863;Ciencias sociales y humanidades;
Revista latinoamericana de políticas y administración de la educación;;2408-4573;Ciencias sociales y humanidades;
Revista notas de enfermería;;2618-3692;Ciencias biológicas y de la salud;Sanatorio Allende
Revista prefacio;;2591-3905;Ciencias sociales y humanidades;
Revista transporte y territorio;;1852-7175;Ciencias sociales y humanidades;
Revista universitaria de geografía;0326-8373;1852-4265;Ciencias sociales y humanidades;
Revista veterinaria;1668-4834;1669-6840;Ciencias agrarias, ingeniería y materiales;
Revista – Escuela de historia;1667-4162;1669-9041;Ciencias sociales y humanidades;
RiHumSo;;2250-8139;Ciencias sociales y humanidades;Universidad Nacional de La Matanza
Runa;0325-1217;1851-9628;Ciencias sociales y humanidades;
SADIO electronic journal of informatics and operations research;;1514-6774;Ciencias agrarias, ingeniería y materiales;
Saberes (Rosario);1852-4184;1852-4222;Ciencias sociales y humanidades;
Salud colectiva;1669-2381;1851-8265;Ciencias sociales y humanidades;
Salud(i)ciencia;1667-8982;1667-8990;Ciencias biológicas y de la salud;
Salud, Ciencia y Tecnología;;2796-9711;Ciencias biológicas y de la salud;Asociación Salud, Ciencia y Tecnología
Scripta mediaevalia (En línea);;2362-4868;Ciencias sociales y humanidades;Facultad de Filosofía y Letras, Universidad Nacional de Cuyo
Serie correlación geológica;1514-4186;1666-9479;Ciencias exactas y naturales;
Signo y seña (En línea);0327-8956;2314-2189;Ciencias sociales y humanidades;
Sociedad y religión;0326-9795;1853-7081;Ciencias sociales y humanidades;
Sociedades precapitalistas;;2250-5121;Ciencias sociales y humanidades;
Sociohistórica (continúa de Cuadernos del CISH);1853-6344;1852-1606;Ciencias sociales y humanidades;
Studia politicae;1669-7405;2408-4182;Ciencias sociales y humanidades;
Studium, filosofía y teología (En línea);;2591-426X;Ciencias sociales y humanidades;Universidad del Norte Santo Tomas de Aquino
Subjetividad y procesos cognitivos (En línea);;1852-7310;Ciencias sociales y humanidades;Universidad de Ciencias Empresariales y Sociales
Sudamérica (Mar del Plata, En línea);;2314-1174;Ciencias sociales y humanidades;Universidad Nacional de Mar del Plata
Synthesis (La Plata);0328-1205;1851-779X;Ciencias sociales y humanidades;
Tecnología y ciencia (En línea);;1666-6933;Ciencias agrarias, ingeniería y materiales;Universidad Tecnológica Nacional
Telar (En línea);1668-2963;1668-3633;Ciencias sociales y humanidades;
Temas de historia argentina y americana (En línea);;2618-1924;Ciencias sociales y humanidades;Facultad de Ciencias Sociales, Pontificia Universidad Católica Argentina
Temas medievales;0327-5094;1850-2628;Ciencias sociales y humanidades;
Temas y debates;1666-0714;1853-984X;Ciencias sociales y humanidades;
Toma Uno;;2250-4524;Ciencias sociales y humanidades;Facultad de Artes, Universidad Nacional de Córdoba
Trabajo y sociedad (Santiago del Estero);;1514-6871;Ciencias sociales y humanidades;
Trabajos y comunicaciones – Departamento de Historia (La Plata);0325-173X;2346-8971;Ciencias sociales y humanidades;
Travesía (San Miguel de Tucumán);0329-9449;2314-2707;Ciencias sociales y humanidades;
Tábano (En línea);;2591-572X;Ciencias sociales y humanidades;Universidad Católica Argentina
Tópicos (Santa Fe);1666-485X;1666-723X;Ciencias sociales y humanidades;
Vertex Revista Argentina de Psiquiatría (En línea);0327-6139;2718-904X;Ciencias biológicas y de la salud;
Visión de futuro;1669-7634;1668-8708;Ciencias sociales y humanidades;
Zona franca (Rosario, En línea);;2545-6504;Ciencias sociales y humanidades;Facultad de Humanidades y Artes, Universidad Nacional de Rosario
e-latina (Buenos Aires);;1666-9606;Ciencias sociales y humanidades;
Área (En línea);;2591-5312;Ciencias sociales y humanidades;Facultad de Arquitectura, Diseño y Urbanismo, Universidad de Buenos Aires
